week,googleTrendsCovidValue,cdcValue
2020-01-05,1,x
2020-01-12,0,x
2020-01-19,1,x
2020-01-26,1,x
2020-02-02,1,x
2020-02-09,1,x
2020-02-16,1,x
2020-02-23,2,x
2020-03-01,5,x
2020-03-08,20,x
2020-03-15,53,x
2020-03-22,62,x
2020-03-29,66,x
2020-04-05,58,x
2020-04-12,47,x
2020-04-19,42,x
2020-04-26,39,30.8
2020-05-03,37,30.8
2020-05-10,37,30.0
2020-05-17,35,28.2
2020-05-24,32,29.4
2020-05-31,26,30.6
2020-06-07,29,31.1
2020-06-14,35,31.7
2020-06-21,45,31.2
2020-06-28,54,33.0
2020-07-05,57,34.0
2020-07-12,58,35.6
2020-07-19,49,36.1
2020-07-26,47,x
2020-08-02,43,x
2020-08-09,38,x
2020-08-16,35,x
2020-08-23,31,31.4
2020-08-30,32,31.4
2020-09-06,28,31.6
2020-09-13,28,31.6
2020-09-20,28,32.6
2020-09-27,35,32.6
2020-10-04,38,32.4
2020-10-11,32,32.4
2020-10-18,37,32.8
2020-10-25,41,32.8
2020-11-01,33,36.3
2020-11-08,54,36.3
2020-11-15,71,37.2
2020-11-22,54,37.2
2020-11-29,53,36.1
2020-12-06,58,36.1
2020-12-13,57,36.9
2020-12-20,57,36.9
2020-12-27,60,x
2021-01-03,59,x
2021-01-10,60,35.8
2021-01-17,58,35.8
2021-01-24,56,36.1
2021-01-31,52,36.1
2021-02-07,50,33.8
2021-02-14,43,33.8
2021-02-21,46,33.4
2021-02-28,53,33.4
2021-03-07,57,31.4
2021-03-14,51,31.4
2021-03-21,50,30.1
2021-03-28,54,30.1
2021-04-04,50,x
2021-04-11,42,x
2021-04-18,37,27.4
2021-04-25,41,27.4
2021-05-02,33,26.5
2021-05-09,32,26.5
2021-05-16,29,25.7
2021-05-23,24,25.7
2021-05-30,22,25.4
2021-06-06,21,25.4
2021-06-13,20,26.1
2021-06-20,19,26.1
2021-06-27,19,24.5
2021-07-04,20,24.5
2021-07-11,25,x
2021-07-18,35,x
2021-07-25,44,27.0
2021-08-01,63,27.0
2021-08-08,58,26.6
2021-08-15,58,26.6
2021-08-22,59,27.8
2021-08-29,60,27.8
2021-09-05,48,28.1
2021-09-12,42,28.1
2021-09-19,37,27.8
2021-09-26,35,27.8
2021-10-03,32,27.3
2021-10-10,29,27.3
2021-10-17,26,x
2021-10-24,28,x
2021-10-31,29,x
2021-11-07,30,x
2021-11-14,32,x
2021-11-21,32,x
2021-11-28,38,x
2021-12-05,34,26.5
2021-12-12,44,26.5
2021-12-19,78,x
2021-12-26,99,x
2022-01-02,100,27.9
2022-01-09,82,27.9
2022-01-16,83,x
2022-01-23,43,x
2022-01-30,30,27.2
2022-02-06,25,27.2
2022-02-13,22,x
2022-02-20,18,x
2022-02-27,17,x
2022-03-06,16,27.3
2022-03-13,16,27.3
2022-03-20,14,x
2022-03-27,14,x
2022-04-03,14,x
2022-04-10,15,x
2022-04-17,15,x
2022-04-24,0,x
